ret,vol,sharpe,w_AAPL,w_MSFT,w_GOOGL,w_AMZN,w_TSLA,w_JPM,w_JNJ,w_XOM
0.17119076465694866,0.15696804864476852,0.835780057085656,0.0,3.839030728713959e-18,0.17152135292400045,0.01220064099253043,0.0,0.08602374051282649,0.5882474925364628,0.1420067730341799
0.17191919928945515,0.1569695242810907,0.840412811936812,0.0,2.956099758471334e-19,0.17111731501827387,0.012611579117916156,6.516727668231968e-19,0.08875320162039456,0.587455020782668,0.14006288346074752
0.1726476339220872,0.1569739510232476,0.845029592855456,0.0,2.3423501608247674e-18,0.17071082325993886,0.013024209678065548,4.268977805348477e-18,0.09148242958877922,0.5866635177110249,0.1381190197621916
0.17337606855459345,0.15698132862250364,0.8496301421637584,8.147675905666008e-19,3.9110456026902514e-18,0.1703026997174801,0.013437996843776532,1.128479384833433e-18,0.09421148010233912,0.5858726563560976,0.13617516698030652
0.17410450318715825,0.15699165666385534,0.8542142049898728,4.181682919887752e-18,0.0,0.16989679859253587,0.0138504027162957,6.527669354981688e-18,0.09694063295138197,0.5850809052845671,0.13423126045521938
0.1748329378197107,0.15700493456435044,0.8587815293438928,6.564723025816904e-18,1.4617966969940134e-18,0.16949089463887448,0.014262800143922946,6.778280909370877e-20,0.09966977787698467,0.5842891912495849,0.13228733609063298
0.17556137245226988,0.15702116157566373,0.863331866176184,0.0,4.82115889356486e-18,0.16908505125397527,0.014675178827479356,0.0,0.10239892767306154,0.583497415110317,0.13034342713516683
0.1762898070848365,0.15704033678359103,0.8678649694482651,0.0,2.5038259836205418e-18,0.16867914857768018,0.015087576064473076,0.0,0.10512807898330212,0.5827056848382735,0.12839951153627122
0.1770182417174205,0.15706245910955793,0.872380596192272,6.417060525779067e-18,0.0,0.16827633315338927,0.015497867831829736,8.083080108340314e-18,0.10785752472578973,0.5819126916295299,0.12645558265946144
0.17774667634993513,0.15708752730494954,0.8768785066081753,1.477862428340388e-17,0.0,0.16786845282594418,0.015911724996683835,5.662245597661232e-18,0.11058645449091452,0.5811216524608181,0.12451171522563927
0.178475110982519,0.15711553996291702,0.8813584640653775,0.0,1.5169894531398981e-18,0.16746206539944145,0.016324454098525103,0.0,0.11331556735641392,0.5803301002119735,0.12256781293364587
0.17920354561506482,0.15714649550813567,0.8858202352203144,0.0,0.0,0.16705566156958718,0.016736946867962024,1.6451213804522029e-18,0.11604519293361433,0.5795377944330631,0.1206244041957735
0.17993198024762652,0.15718039220131802,0.890263590056452,7.176652371330604e-18,2.3293600318432996e-17,0.16664973483505796,0.01714938156023246,3.7374902994465504e-18,0.11877387355332872,0.5787471235816348,0.11867988646974598
0.1806604148801807,0.1572172272238015,0.8946883071531856,7.491726938928704e-05,0.0,0.16620623435900733,0.01753902931743961,1.6135788028191485e-18,0.12147002305618303,0.5779544453968616,0.11675535060111912
0.1813888495127412,0.15725669943947237,0.8990958732868569,0.0009273797376345345,0.0005659097956014813,0.1650960214782626,0.017534602176305994,0.0,0.12342256068047425,0.577166257931085,0.11528726820063614
0.18211728414530812,0.15729806878405164,0.9034903304529146,0.0010603063302772966,0.0023093053360336378,0.16377963919375485,0.01738576764182247,0.0,0.1248626700631146,0.5764537392177971,0.11414857221720015
0.18284571877786063,0.15734116514989385,0.907872511569214,0.0011921244782319678,0.0040511725918727605,0.16246369483665518,0.01723832644692852,0.0,0.12630402746230207,0.5757420383171592,0.11300861586685036
0.18357415341042535,0.15738598712036317,0.9122422906724534,0.0013270030036086438,0.0057930721419002865,0.16114641086202275,0.017089685967503116,0.0,0.12774420404183467,0.5750300218590507,0.11186960212407983
0.1843025880429788,0.1574325332188517,0.916599543261998,0.0014594890687195448,0.007535152707003257,0.15982996354335946,0.016942021569179053,0.0,0.1291851566103462,0.5743182430292182,0.11072997347217436
0.18503102267554283,0.15748080191838687,0.920944146263009,0.001592723187461706,0.009277267605449358,0.15851314444334977,0.016794093191985496,9.334114787580574e-18,0.13062580981703215,0.5736063486501127,0.10959061310460882
0.18575945730809523,0.15753079163487138,0.9252759780826847,0.0017257604262420532,0.011019428369100852,0.1571963801826072,0.016646248613223415,0.0,0.13206651512700399,0.5728944282394457,0.10845123904237679
0.18648789194065027,0.15758250075201904,0.9295949184812855,0.0018547484231069785,0.012769843452982791,0.15586717007293702,0.016504963672344695,0.0,0.13350218114947024,0.572186094060334,0.10731499916882425
0.18721632657320725,0.15763592752835742,0.9339008491368456,0.0019866247988646617,0.014510816199110002,0.15455309980142093,0.01635692779219316,1.904100742563418e-18,0.13494435171084654,0.5714733164412523,0.10617486325631244
0.18794476120577447,0.15769107024873738,0.9381936527693714,0.0021199915502211186,0.01625195926225624,0.15323789188092574,0.016208421555678983,5.7471126150657685e-18,0.13638575486905052,0.5707608722962404,0.10503510858562708
0.1886731958383264,0.15774792712577435,0.942473213735401,0.002253513032672066,0.017996075950169478,0.15191719595302555,0.016061696963044467,0.0,0.13782465118359552,0.5700500833530838,0.10389678356440907
0.1894016304708953,0.15780649625825427,0.9467394182961631,0.002391029969043882,0.019729414109017157,0.1506133522345734,0.015907047982595943,9.136474337106328e-18,0.1392705948674377,0.5693344961292702,0.10275406470806167
0.19013006510344216,0.1578667757968023,0.9509921536415082,0.0025246294913188515,0.02147128150329697,0.14929643550102836,0.015759132251854564,0.0,0.14071127562121916,0.5686225137677984,0.10161473186348381
0.19085849973600147,0.15792876375831302,0.9552313090151736,0.0026551402230766,0.0232137225699784,0.14798163570681175,0.015611628431767652,0.0,0.1421529187751487,0.5679100363606423,0.10047491793257468
0.19158693436855798,0.1579924581349901,0.9594567750761925,0.0027882925076183696,0.024955681534227392,0.14666507501925102,0.015463707103699346,0.0,0.14359373242371157,0.5671980193163253,0.099335492095167
